sabaeplan,num,year,nteam,team,title,proposal,summary,expectation,result1
1,3,2010,1,いんげん,商店街で鯖江を,鯖江駅前商店街を活性化したい  （鯖江駅前＝鯖江の顔）,1．鯖江の「特産品」に注目した商店街をつくる　　　　　　　　　　　　　　　　　　　　　　①ご当地ラーメンの開発  ②特産品販売　  ③B級グルメ　  ④鯖江を実感できるプラグラム　  ⑤鯖江産のメガネ・漆器の使い心地を実践できる  2．駅や道の駅に商店街のショーウィンドウを設置し、鯖江駅や西山公園の観光客に商店街  の魅力を伝える,1．鯖江全体のイメージや活気の向上につながる　　　　　　　　　　　　　　　　　　　　　　　　　　　　2．イベントの際の経済効果やイメージ戦略の相乗効果が望め、精神的な面でも鯖江の将来展望についてもポジティブな効果が見込める　　　　　　　　　　　　　　　　　　　　　　　3．「駅前商店街」は利益を出すだけではなく、「鯖江」を表現する街へ、そして中心市街地としての立ち位置を将来的に確立する,一部採択
2,3,2010,2,にんにく,はじめられるまち、鯖江,市民協働とITの街にしたい,①「鯖家ファンド」…鯖江市在住で、鯖江市を拠点に街づくりの事業を起こす人の資金調達の場を提供する。1年目は市が投資→その後は在市法人や市民が投資、もしくは寄付。　　　　　　　　　　　　　　　　　　②鯖江のIT系学生と大学生、事業主が共同で行うビジコンの開催。これにより学生が外部とのネットワークを形成でき、企画力や交渉力のスキルアップにつながる。さらに鯖江の学生が行動をおこすきっかけにもつながる。,①市民協働をはじめられる環境づくりを実現 　　　　　　　　　　　　　　　　　　　　　　　②ＩＴ産業のリーダーとなる第一歩を実現,一部採択
3,3,2010,3,さば,愛を深めるまち、鯖江～第４の産業としての観光産業の可能性,ソフト面の充実化による、ハード観光資源の相乗的強化,①ソフト(=「西山公園でプロポーズをすると結婚できる！」というストーリー)により、ハード(=西山公園)の魅力を高めることで、観光地化を図る。　　　　　　　②イメージ戦略  　(趣旨)世代ごとの「愛を深める」イメージを展開。  　(施策)イメージを定着させるようなストーリーを作成。,○1年後→「出会いのまち鯖江」のイメージ戦略　　○3年後→観光客向け商品の売り出し、商店街・駅周辺の景観の改善　　　　　　　　　　　　　　　　　　　　　○5年後→商店街の店舗拡充、駅周辺の店舗拡充○10年後→市民と観光客が往来する町並み　　　　　　　　　あくまで、今の市民のライフスタイルに観光が溶け込む姿。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　・観光産業としての可能性を見出す。,採択
4,3,2010,4,ししとう,トキワ荘プロジェクト,地場産業における後継者の獲得、鯖江が育成モデルのトップリーダーとなる,トキワ荘とは・・・1950年代手塚治虫や石森章太郎などが住んだ家宅。安価な家賃で漫画家の卵がシェアハウスに住む。①「“鯖江版”トキワ荘」…空き古民家を賃借し、共同生活を送りつつ仕事をする。  ②マイスター制の導入･･･マイスター(親方・名人)になるには見習い工として就職しながら専門知識や技術を習得し、次段階の熟練工の試験を受け、熟練工になった後も3-5年間研修を積んでマイスター試験を受ける。,①・鯖江で働こうとする若者が刺激し合う・共同生活の中で人間的な成長  ・新しいコミュニティでも孤独感を感じずに支え合い、途中退職も減る  ・デザインを志す若者と技術者を目指す若者が議論し新しい商品が生まれる  ・伝統文化と現代文化を融合させた鯖江独自の芸術作品の誕生　　　　　　　　　　　　　　　　　　　　　　　②・外部からの鯖江技術の習得の可能性  ・鯖江ブランドの確立  ・一人前の証が明確になる。,一部採択
5,3,2010,5,ごま豆腐,市民ホールつつじを活用した地域活性化プラン,世代を問わず、コミュニケーションをとり、明るく会話のある田舎ならではの街にしたい（街頭アンケートを実施し、市民目線を重視した結果できた目的）,・市民ホール・つつじで「カルチャースクール」の開講。そうすることで講師と生徒はもちろん、生徒と生徒も繋がっていく。講座を企画・運営する主体は高齢者。そうすることのメリットは、つながりを大切にしたいとやる気がある、時間がある、講座の企画段階で異世代との交流が生まれる、ボケ防止、運動不足解消。,①双方（高齢者と若者）の知識を共有できる　　　　　②異世代間のコミュニケーションの促進,一部採択
6,3,2010,6,麦飯,「スポーツツーリズム」による地域活性化,三大産業に加え、「スポーツ・学力」をＰＲし、「スポーツツーリズム」による観光収入の増加を図る,・福井県は、小中学校全国学力テスト第二位、小学校男女全国体力ランキング第一位で、中でも鯖江は体力テスト県下1位である。これをＰＲする。具体的には、旅行会社への合宿ツアーの売り込みや、他都道府県への広報等。　　　　　　　　　　　　　　　　　　・既存のスポーツ施設を生かし、全国大会の開催や強化合宿の誘致を行う。また、林間学校や小中高校生の部活動・クラブ活動などにも活用してもらう。市としては、宿泊費や施設使用費の助成を行い、資金面での誘致に向けた支援を行う。,・鯖江から新たな「ＰＲツール」の発信。・「スポーツツーリズム」による観光収入の増加。  　・「運動能力日本一のまち鯖江」の認知度向上。  　・長期的ビジョンとしては、一つのスポーツに特化し、「○○の鯖江」となる。これにより、全国大会の開催や、各競技団体の強化合宿へとつなげる。,一部採択
7,3,2010,7,なめこ,さばえぼりゅーしょん21,メガネ産業を軸として、産業発展・地域活性を図る,1.??? インターネットを活用した流通・販路システム改革→｢買う｣Webショップから「試す」Webショップへ「返品・交換を無料化」　　　　　　　　　　　　　　　　　　　2.AR（拡張現実）を活用した新産業創造・地域振興　3.市名を活用し“Megane”を世界に→鯖江市から「めがね」市へ変更。市の名前変更によるプロモーション（例:カンザス 州Google市）、期間限定での変更でも十分な認知度向上・経済的効果,,一部採択
8,3,2010,8,はちみつ,EC事業によるSABAEブランド海外進出,雇用・税収の安定化のために、産業の層を厚くする,・鯖江のITの設備が整っている（市民の理解度が高い）という強みを生かし、鯖江の商品を、インターネットを通じて販売する（Ｅコマース：EC）。取り掛かりとして農作物を中国で販売。　　　　　　　　　　　　　　　　　　・安定した供給と、高付加価値が見込める米とメロンに絞って売り込む。,・日本産農作物は中国の富裕層に人気が高く、また今後中国の富裕層は増加傾向にあるため、収入が見込める。　　　　　　　　　　　　　　　　　　　　　　　　　　　　・中国は現在メロンの輸入を行っていないため、「高級日本産メロン＝SABAE」のイメージ形成。・農業に貢献することで所帯あたりの収入の増加、就農者の増加。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　・ECによる海外進出ノウハウの蓄積。・安定的な税収。,一部採択
9,4,2011,1,いよかん,『１％政策』-主役は市民だ！-,市民税収入の１％を使って鯖江市を活性化,"《目的》市民の意見がより反映されやすい街の実現　　　　　　　　　　　◎「１％政策」  　・市民税1％の使い方を、鯖江市民のあなたが決める政策  　・今までの1％政策は団体対象だったが、鯖江市の1％政策は個人の意見も支援する  　・市民税376,566万円（H21）→１％：3,765万円→１人あたり（1票の価値）550円程度  　「あなたの一票（約550円）が、暮らしを変える！」  ◎市民プラン実現の流れ  　①エントリー（フォーマットに沿って文章提出）  　②公聴会  　③告知期間  　④投票（記名投票、Web投票、郵送投票）  　⑤支援・実現　 （得票率応じた金額の給付）  　⑥報告会",・市民の意見が実現される街になる（使い道を市民個人が決められるので、より市民の要望に沿った使い方をすることができる）,一部採択
10,4,2011,2,にくまん,思い出が巡るまち・鯖江,MY鯖江BOOKの作成を通じて世代間交流を図る,《目的》思い出が巡るまち。それが鯖江。　　　　　　　　　　　　　　　　　◎子どもとご年配の方の交流の場を設ける  　　子ども：高校までは鯖江にいても、就職は市外　→　鯖江との結びつきを強める必要性  　　ご年配の方：健康、多趣味（高年大学）　→　活躍の場の提供  ◎二人のMY鯖江BOOKの作成  　　・小1～小3の授業の一環として自分の思う「鯖江」を本にする（指導はご年配の方々）  　　　⇒成人式の日まで公民館で保存  　　・成人式の日、MY鯖江BOOKを渡す、指導者のご年配の方と再会する  「もうひとりの孫」「もうひとりのおじいちゃん・おばあちゃん」として強い絆で結ばれる,・ご年配の方の生きがいが増える　　　　　　・若者が、鯖江の魅力を再発見して地元への愛着を強める  ・世代を超えた交流の場ができる,一部採択
